Stock,DegreeCentrality,BetweennessCentrality
TATAPOWER.NS,0.3829787234042553,0.029633398585992322
IRCTC.NS,0.36170212765957444,0.013306917066093852
RECLTD.NS,0.36170212765957444,0.012872878261387359
DLF.NS,0.36170212765957444,0.0612869559328023
LICHSGFIN.NS,0.35106382978723405,0.013242398842923182
CANBK.NS,0.3404255319148936,0.007284385811084844
BHEL.NS,0.3351063829787234,0.009884576271217669
PFC.NS,0.3351063829787234,0.005307839627230468
SAIL.NS,0.32978723404255317,0.008901186599080029
BEL.NS,0.3191489361702128,0.007122411076513927
GAIL.NS,0.3031914893617021,0.0031882493890776696
HAL.NS,0.2978723404255319,0.008096802709528818
BANKBARODA.NS,0.2925531914893617,0.005128554824397215
PNB.NS,0.2925531914893617,0.0032854916177450354
AMBUJACEM.NS,0.28723404255319146,0.007521326282914742
ADANIPORTS.NS,0.2765957446808511,0.0052876383684799435
NMDC.NS,0.2712765957446808,0.0026356114542782296
TATASTEEL.NS,0.2712765957446808,0.01068318641366689
IOC.NS,0.26063829787234044,0.003660889936986047
ACC.NS,0.26063829787234044,0.007803838855740472
COALINDIA.NS,0.26063829787234044,0.001389012962973258
NTPC.NS,0.25,0.0010606742262530718
SBIN.NS,0.24468085106382978,0.0057402137876408415
NHPC.NS,0.24468085106382978,0.0019340753524876156
NATIONALUM.NS,0.24468085106382978,0.001372965922364639
CONCOR.NS,0.24468085106382978,0.0007161337403712726
HUDCO.NS,0.22872340425531915,0.001891433984621049
UNIONBANK.NS,0.22872340425531915,0.0012014872479214236
BPCL.NS,0.22340425531914893,0.0006856760498043322
VEDL.NS,0.22340425531914893,0.007600652358073264
ONGC.NS,0.22340425531914893,0.0011171010837535843
IRB.NS,0.2180851063829787,0.0014879341130842449
HDFCAMC.NS,0.2127659574468085,0.0014236360376903119
GMRAIRPORT.NS,0.2127659574468085,0.0012596074829511548
ABCAPITAL.NS,0.2127659574468085,0.008007559523393075
ADANIENT.NS,0.20212765957446807,0.00268425948661955
LT.NS,0.20212765957446807,0.0007635743803310581
LICI.NS,0.19680851063829788,0.0002922142708054011
BANKINDIA.NS,0.19680851063829788,0.0012162667434657188
ASHOKLEY.NS,0.18617021276595744,0.0004389657574971338
CUMMINSIND.NS,0.17553191489361702,0.0003422024957463249
SIEMENS.NS,0.17553191489361702,0.0067325533402094895
LTF.NS,0.17553191489361702,0.011085088528646633
BHARATFORG.NS,0.1702127659574468,0.0005016883440982061
POWERGRID.NS,0.1702127659574468,0.00025631077344564265
EXIDEIND.NS,0.1702127659574468,0.00031613222347342363
GODREJPROP.NS,0.16489361702127658,0.009164518443154874
SHRIRAMFIN.NS,0.1595744680851064,0.011132127142257753
HINDPETRO.NS,0.14893617021276595,9.132774885192428e-06
JINDALSTEL.NS,0.14893617021276595,0.0005190473021211008
IRFC.NS,0.1276595744680851,0.00045825087270903877
JSWENERGY.NS,0.11702127659574468,0.00011934185696251891
INDIANB.NS,0.10638297872340426,1.5802581509715427e-06
RELIANCE.NS,0.10638297872340426,5.876571185480047e-05
MOTHERSON.NS,0.10106382978723404,0.00615957808115619
RVNL.NS,0.10106382978723404,0.00040577398033448504
OBEROIRLTY.NS,0.09574468085106383,0.0015386025538756166
IDFCFIRSTB.NS,0.09042553191489361,0.00031891958444607837
JSWSTEEL.NS,0.0851063829787234,0.0006861599449375085
INDUSTOWER.NS,0.0797872340425532,0.00011908360786444034
M&MFIN.NS,0.0797872340425532,0.0006826958869692731
INDHOTEL.NS,0.07446808510638298,0.00017117351359933013
ABB.NS,0.07446808510638298,1.446367187634681e-05
JIOFIN.NS,0.06914893617021277,4.942771476596653e-05
DIXON.NS,0.06382978723404255,1.2867816372196847e-05
HINDALCO.NS,0.06382978723404255,0.00028542450455069733
YESBANK.NS,0.05851063829787234,8.769013363572352e-05
TECHM.NS,0.05319148936170213,0.00047407744529146277
BDL.NS,0.05319148936170213,0.0001223940722177154
MPHASIS.NS,0.05319148936170213,0.0008533394015246333
IREDA.NS,0.05319148936170213,3.5555808396859713e-06
MAZDOCK.NS,0.05319148936170213,8.705061473623853e-05
OIL.NS,0.05319148936170213,0.0
PERSISTENT.NS,0.047872340425531915,0.00013274168468160958
COCHINSHIP.NS,0.047872340425531915,2.0543355962630055e-05
COFORGE.NS,0.047872340425531915,0.00022755717373990216
WIPRO.NS,0.047872340425531915,0.00013274168468160958
INFY.NS,0.0425531914893617,0.0
ATGL.NS,0.0425531914893617,0.0
ADANIPOWER.NS,0.0425531914893617,0.0
ADANIGREEN.NS,0.0425531914893617,0.0
ADANIENSOL.NS,0.0425531914893617,0.0
HCLTECH.NS,0.0425531914893617,0.0
PATANJALI.NS,0.0425531914893617,0.0
TCS.NS,0.0425531914893617,0.0
LTIM.NS,0.0425531914893617,0.0
FEDERALBNK.NS,0.03723404255319149,9.116873947912745e-06
IDEA.NS,0.03723404255319149,2.6121462007228305e-05
GRASIM.NS,0.03723404255319149,0.002648777142883323
ULTRACEMCO.NS,0.03723404255319149,0.003595108336203657
TVSMOTOR.NS,0.031914893617021274,0.030037546933667086
CHOLAFIN.NS,0.031914893617021274,0.00021277887380896583
AXISBANK.NS,0.031914893617021274,0.0036607296017531566
LUPIN.NS,0.026595744680851064,0.0003887435051389995
BAJAJFINSV.NS,0.026595744680851064,0.006144043690977359
HINDUNILVR.NS,0.026595744680851064,0.00039822505404482877
SUNPHARMA.NS,0.02127659574468085,0.0001042970379641218
MARICO.NS,0.02127659574468085,0.00018963097811658513
NAUKRI.NS,0.02127659574468085,0.0006257822277847309
GODREJCP.NS,0.02127659574468085,0.0003413357606098532
ICICIBANK.NS,0.02127659574468085,0.002655828592033547
BAJFINANCE.NS,0.02127659574468085,0.0
SOLARINDS.NS,0.02127659574468085,0.0
TATACOMM.NS,0.02127659574468085,0.0
PRESTIGE.NS,0.015957446808510637,0.0
OFSS.NS,0.015957446808510637,0.0
LODHA.NS,0.015957446808510637,0.0
UPL.NS,0.015957446808510637,0.006144043690977359
NESTLEIND.NS,0.015957446808510637,1.8963097811658513e-05
BRITANNIA.NS,0.015957446808510637,1.8963097811658513e-05
CIPLA.NS,0.015957446808510637,0.00011377858686995108
DABUR.NS,0.015957446808510637,0.0
COLPAL.NS,0.015957446808510637,5.688929343497554e-05
ZYDUSLIFE.NS,0.015957446808510637,0.00011377858686995108
EICHERMOT.NS,0.010638297872340425,0.0
AUROPHARMA.NS,0.010638297872340425,0.0
APLAPOLLO.NS,0.010638297872340425,0.0
MFSL.NS,0.010638297872340425,0.0
HAVELLS.NS,0.010638297872340425,0.0
BAJAJ-AUTO.NS,0.010638297872340425,0.0
BIOCON.NS,0.010638297872340425,0.0
DRREDDY.NS,0.010638297872340425,1.8963097811658513e-05
MARUTI.NS,0.010638297872340425,0.0
SBILIFE.NS,0.010638297872340425,0.0
SHREECEM.NS,0.010638297872340425,0.0
HDFCLIFE.NS,0.010638297872340425,0.0
HEROMOTOCO.NS,0.010638297872340425,0.0
HDFCBANK.NS,0.010638297872340425,0.0
ASTRAL.NS,0.005319148936170213,0.0
CGPOWER.NS,0.005319148936170213,0.0
HINDZINC.NS,0.005319148936170213,0.0
KEI.NS,0.005319148936170213,0.0
GLENMARK.NS,0.005319148936170213,0.0
POLYCAB.NS,0.005319148936170213,0.0
SBICARD.NS,0.005319148936170213,0.0
TATACONSUM.NS,0.005319148936170213,0.0
TORNTPOWER.NS,0.005319148936170213,0.0
TATATECH.NS,0.005319148936170213,0.0
SRF.NS,0.005319148936170213,0.0
ETERNAL.NS,0.005319148936170213,0.0
BOSCHLTD.NS,0.005319148936170213,0.0
KPITTECH.NS,0.005319148936170213,0.0
M&M.NS,0.005319148936170213,0.0
FORTIS.NS,0.0,0.0
DMART.NS,0.0,0.0
BLUESTARCO.NS,0.0,0.0
BHARTIARTL.NS,0.0,0.0
COROMANDEL.NS,0.0,0.0
DIVISLAB.NS,0.0,0.0
APOLLOHOSP.NS,0.0,0.0
ASIANPAINT.NS,0.0,0.0
360ONE.NS,0.0,0.0
ALKEM.NS,0.0,0.0
AUBANK.NS,0.0,0.0
BAJAJHLDNG.NS,0.0,0.0
BHARTIHEXA.NS,0.0,0.0
BSE.NS,0.0,0.0
MUTHOOTFIN.NS,0.0,0.0
MRF.NS,0.0,0.0
MOTILALOFS.NS,0.0,0.0
MAXHEALTH.NS,0.0,0.0
MANKIND.NS,0.0,0.0
ITC.NS,0.0,0.0
KOTAKBANK.NS,0.0,0.0
KALYANKJIL.NS,0.0,0.0
JUBLFOOD.NS,0.0,0.0
ICICIGI.NS,0.0,0.0
INDUSINDBK.NS,0.0,0.0
GODFRYPHLP.NS,0.0,0.0
IGL.NS,0.0,0.0
INDIGO.NS,0.0,0.0
PAGEIND.NS,0.0,0.0
PAYTM.NS,0.0,0.0
PIIND.NS,0.0,0.0
PIDILITIND.NS,0.0,0.0
POLICYBZR.NS,0.0,0.0
PHOENIXLTD.NS,0.0,0.0
POWERINDIA.NS,0.0,0.0
NYKAA.NS,0.0,0.0
SONACOMS.NS,0.0,0.0
SUPREMEIND.NS,0.0,0.0
SUZLON.NS,0.0,0.0
TATAELXSI.NS,0.0,0.0
TITAN.NS,0.0,0.0
TORNTPHARM.NS,0.0,0.0
TRENT.NS,0.0,0.0
TIINDIA.NS,0.0,0.0
VBL.NS,0.0,0.0
VOLTAS.NS,0.0,0.0
